starting_date,total_clicks,total_impressions,weekly_ctr,cum_avg_ctr
2024-01-01,14177,388662,0.0365,0.0365
2024-01-08,18010,381107,0.0473,0.0419
2024-01-15,17556,354844,0.0495,0.0444
2024-01-22,16535,314969,0.0525,0.0464
2024-01-29,16646,307394,0.0542,0.048
2024-02-05,16156,279259,0.0579,0.0496
2024-02-12,19959,598318,0.0334,0.0473
2024-02-19,15580,314309,0.0496,0.0476
2024-02-26,14569,263480,0.0553,0.0485
2024-03-04,13474,260177,0.0518,0.0488
2024-03-11,13915,271626,0.0512,0.049
2024-03-18,16209,300131,0.054,0.0494
2024-03-25,14802,339091,0.0437,0.049
2024-04-01,13083,289987,0.0451,0.0487
2024-04-08,12725,359960,0.0354,0.0478
2024-04-15,15344,345425,0.0444,0.0476
2024-04-22,18622,1090987,0.0171,0.0458
2024-04-29,4765,179345,0.0266,0.0448
