starting_date,total_impressions,cum_avg
2024-01-01,388662,388662.0
2024-01-08,381107,384884.5
2024-01-15,354844,374871.0
2024-01-22,314969,359895.5
2024-01-29,307394,349395.2
2024-02-05,279259,337705.8
2024-02-12,598318,374936.1
2024-02-19,314309,367357.8
2024-02-26,263480,355815.8
2024-03-04,260177,346251.9
2024-03-11,271626,339467.7
2024-03-18,300131,336189.7
2024-03-25,339091,336412.8
2024-04-01,289987,333096.7
2024-04-08,359960,334887.6
2024-04-15,345425,335546.2
2024-04-22,1090987,379983.9
2024-04-29,179345,368837.3
